Street Segement,SHAPELEN,District_1,District_2,TRAIN_ONEHOT,METRO_BLUESILVER,LIQUOR_ONEHOT,METRO_ORANGE,District_3,GRAFFITI_ONEHOT,District_4,District_5,District_6,District_7,GAS_ONEHOT,METRO_RED,METRO_GREEN,METRO_YELLOW,PUBLICSCHOOL_ES_ONEHOT,PUBLICSCHOOL_MS_ONEHOT,PUBLICSCHOOL_HS_ONEHOT,FAGI_MEDIAN_2015,POPDENSITY,HOUSINGDENSITY,PERCVACANTHOUSING,FAGI_MEDIAN_CHANGE,FEDERAL_ONEHOT,CORRIDOR_ONEHOT,HOMICIDES_ONEHOT
1,180.26104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22943.75,10268.53784,4566.55853,0.157096708,0.974211499,0,0,0
2,195.02022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23679,7344.806172,2850.099631,0.129360465,1.040103663,1,0,1
3,109.59528,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58798.5,4122.550303,2018.944963,0.066683965,1.257184092,1,0,0
4,23.02183,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,54693,21876.12193,11944.37424,0.111142989,1.346451637,1,0,0
5,70.4039,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,51879.25,12226.23693,5291.997504,0.117609891,1.276225361,1,0,0
6,198.37639,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22229.5,7969.53226,3950.624927,0.171193416,0.998988855,1,0,1
7,14.26114,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30846,8930.196865,4503.033827,0.155282332,1.076536488,0,0,1
8,118.74101,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,68971.75,45760.43779,27714.28716,0.074476415,1.330374013,1,0,0
9,118.86827,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48990,7513.573488,3196.280015,0.105623928,1.141101507,0,0,1
10,116.3405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92684,13215.61291,8056.77231,0.144523655,1.205081198,1,0,0
11,90.87297,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,59364,37691.99452,22726.85662,0.094797675,1.500508196,0,1,0
12,90.81431,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,63711,17483.60433,9855.433518,0.107615894,1.348552197,1,1,0
13,162.7212,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59590,7363.108698,3653.70598,0.0625,1.106664314,1,0,0
14,98.20405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76337.75,10054.3252,7036.333958,0.199890287,1.168833202,1,0,0
15,130.86833,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,76978.5,16221.46899,12175.0804,0.139874086,1.209800489,1,1,0
16,106.81639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67011,4342.367825,3090.480371,0.11426844,1.109830323,1,0,0
17,71.46061,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42401,13524.64555,5398.408072,0.062383032,1.153768707,0,0,0
18,149.36866,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43663,18669.88905,7332.357234,0.084760274,1.167459893,0,0,0
19,152.3868,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49413.5,10309.65734,5174.307583,0.081451061,1.161877778,1,0,0
20,70.68442,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,29627,7936.437428,4593.394133,0.214899713,1.207343413,0,0,0
22,198.30594,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,27655,3039.330805,1052.888831,0.07201889,1.108461261,0,0,0
23,9.79001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49413.5,10309.65734,5174.307583,0.081451061,1.161877778,1,0,0
24,104.57217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131571,7847.997999,2991.020216,0.037755822,1.152751311,0,0,0
25,36.0961,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,42402,8539.47342,4915.898645,0.088917526,0.991998877,0,0,1
26,167.58031,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60941.5,19130.78205,10135.30569,0.094329784,1.256512151,0,1,0
27,104.52307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85600,23845.23143,11986.67551,0.063287267,1.088904817,0,0,0
28,113.84054,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78676,22220.41325,12602.7361,0.080362538,1.121915396,1,0,0
29,169.64912,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,41492.25,6409.365072,2706.216923,0.205572854,1.381768429,0,0,0
30,84.89037,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,54901.75,17716.59349,9269.87967,0.121043442,1.299326952,0,0,0
32,85.17322,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,100633.5,8048.275319,6558.064624,0.215091067,1.209653572,1,0,0
33,148.44644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75309.5,22152.67682,11068.38127,0.075485262,1.247548289,0,0,0
34,100.63288,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38882.5,22614.44134,10975.05905,0.126563282,1.34655677,0,0,0
35,116.29363,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,38882.5,22614.44134,10975.05905,0.126563282,1.34655677,1,0,0
36,95.99164,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38607,5812.336559,2585.039186,0.090557276,1.015332422,0,0,1
37,93.79904,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28775,5622.059606,3204.601988,0.144230769,0.962503345,0,0,0
38,10.45601,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85301.5,35163.00518,23370.01866,0.073925271,1.171611246,1,0,0
39,198.50943,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,28949.25,15227.75783,7458.517729,0.200617639,1.091462337,0,0,0
40,108.19314,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,28461,14141.67236,6480.3899,0.152352502,1.039101862,0,1,0
41,111.75618,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50138,3468.550043,1863.383427,0.065991203,1.194985737,0,0,0
42,79.13816,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42315,2076.424622,798.2632629,0.075481799,1.045511823,0,1,0
43,200.15666,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47555.75,4427.719183,1858.174705,0.077082417,1.064948033,1,1,0
44,91.32761,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60618.5,13221.44113,7700.119926,0.125745563,1.14967016,1,0,0
45,151.37643,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,81726,27103.16453,20245.10101,0.160144491,1.119043707,1,1,0
46,268.33394,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,58798.5,8237.614784,4036.075181,0.133367929,1.257184092,1,1,0
47,87.93126,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,42315,2076.424622,798.2632629,0.075481799,1.045511823,0,0,0
48,82.13014,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,76569.5,45682.41074,35182.05856,0.072493573,1.181154167,1,1,0
49,165.29155,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,63711,17483.60433,9855.433518,0.107615894,1.348552197,1,1,0
50,142.68626,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91305.5,17844.27655,12820.54374,0.141176828,1.139194109,1,1,0
51,197.90713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80862,21901.92287,10246.04914,0.063953488,1.068387813,0,0,0
